name,faculty
Екологія,1
Туризм,1
Середня освіта (Географія),1
Середня освіта (Трудове навчання та технології),2
Професійна освіта (Комп’ютерні технології),2
Професійна освіта (Сфера обслуговування),2
Професійна освіта (Транспорт),2
Готельно-ресторанна справа,2
Середня освіта (Мова і література (англійська)),3
Середня освіта (Мова і література (німецька)),3
Середня освіта (Мова і література (французька)),3
Філологія. Германські мови та літератури (англійсько-український переклад),3
Середня освіта (Історія),4
Історія та археологія,4
Філософія (Аналітика суспільних процесів),4
Середня освіта (Образотворче мистецтво),5
Середня освіта (Музичне мистецтво),5
Дизайн,5
Сценічне мистецтво,5
Соціальна робота,6
Менеджмент соціокультурної діяльності,6
Початкова освіта,6
Дошкільна освіта,6
Середня освіта (Фізика),7
Середня освіта (Математика),7
Середня освіта (Інформатика),7
Середня освіта (Українська мова і література),8
Журналістика (Журналістика),8
Середня освіта (Фізична культура),9
Спеціальна освіта (Фізична реабілітація),9
Фізична культура і спорт,9
Середня освіта (Хімія),10
Середня освіта (Біологія та здоров'я людини),10
Захист і карантин рослин,10
